GCF_000005825.2	Bacillus pseudofirmus OF4 (firmicutes)	4249248	4203
GCF_000006605.1	Corynebacterium jeikeium K411 (high GC Gram+)	2476822	2147
GCF_000006685.1	Chlamydia muridarum str. Nigg (agent of mouse pneumonitis)	1080451	951
GCF_000006725.1	Xylella fastidiosa 9a5c (g-proteobacteria)	2731750	2358
GCF_000007025.1	Rickettsia conorii str. Malish 7 (a-proteobacteria)	1268755	1325
GCF_000007085.1	Caldanaerobacter subterraneus subsp. tengcongensis MB4 (firmicutes)	2689445	2544
GCF_000007125.1	Brucella melitensis bv. 1 str. 16M (a-proteobacteria)	3294931	3162
GCF_000007365.1	Buchnera aphidicola str. Sg (Schizaphis graminum) (enterobacteria)	641454	593
GCF_000007485.1	Tropheryma whipplei str. Twist (high GC Gram+)	927303	876
GCF_000007605.1	Chlamydia caviae GPIC (chlamydias)	1181356	1017
GCF_000007625.1	Clostridium tetani E88 (firmicutes)	2873333	2771
GCF_000007705.1	Chromobacterium violaceum ATCC 12472 (b-proteobacteria)	4751080	4368
GCF_000007725.1	Buchnera aphidicola str. Bp (Baizongia pistaciae) (enterobacteria)	618379	554
GCF_000007745.1	Mannheimia succiniciproducens MBEL55E (g-proteobacteria)	2314078	2129
GCF_000007865.1	Mycobacterium avium subsp. paratuberculosis K-10 (high GC Gram+)	4829781	4360
GCF_000007905.1	Helicobacter hepaticus ATCC 51449 (e-proteobacteria)	1799146	1783
GCF_000007945.1	Haemophilus ducreyi 35000HP (g-proteobacteria)	1698955	1571
GCF_000008025.1	Wolbachia endosymbiont of Drosophila melanogaster (a-proteobacteria)	1267782	1137
GCF_000008045.1	Rickettsia typhi str. Wilmington (a-proteobacteria)	1111496	853
GCF_000008205.1	Mycoplasma hyopneumoniae J (mycoplasmas)	897405	699
GCF_000008325.1	Methylococcus capsulatus str. Bath (g-proteobacteria)	3304561	3009
GCF_000008345.1	Cutibacterium acnes KPA171202 (high GC Gram+)	2560265	2470
GCF_000008365.1	Mycoplasma mobile 163K (mycoplasmas)	777079	683
GCF_000008385.1	Wolbachia endosymbiont strain TRS of Brugia malayi (a-proteobacteria)	1080084	876
GCF_000008465.1	Idiomarina loihiensis L2TR (g-proteobacteria)	2839318	2708
GCF_000008885.1	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis (enterobacteria)	703004	676
GCF_000009125.1	Ralstonia solanacearum GMI1000 (b-proteobacteria)	5810922	5053
GCF_000009145.1	Nitrosomonas europaea ATCC 19718 (b-proteobacteria)	2812094	2588
GCF_000009365.1	Alcanivorax borkumensis SK2 (g-proteobacteria)	3120143	2801
GCF_000009545.1	Streptococcus uberis 0140J (firmicutes)	1852352	1836
GCF_000009765.2	Streptomyces avermitilis MA-4680 _ NBRC 14893 (high GC Gram+)	9119895	7544
GCF_000009825.1	Bacillus clausii KSM-K16 (firmicutes)	4303871	4269
GCF_000009865.1	Staphylococcus haemolyticus JCSC1435 (firmicutes)	2697861	2560
GCF_000009905.1	Symbiobacterium thermophilum IAM 14863 (firmicutes)	3566135	3290
GCF_000009945.1	Chlamydia felis Fe/C-56 (chlamydias)	1173791	1015
GCF_000009985.1	Magnetospirillum magneticum AMB-1 (a-proteobacteria)	4967148	4544
GCF_000010065.1	Synechococcus elongatus PCC 6301 (cyanobacteria)	2696255	2666
GCF_000010125.1	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 _ NCTC 7292 (firmicutes)	2577899	2428
GCF_000010145.1	Lactobacillus fermentum IFO 3956 (firmicutes)	2098685	1988
GCF_000010165.1	Brevibacillus brevis NBRC 100599 (firmicutes)	6296436	5850
GCF_000010185.1	Finegoldia magna ATCC 29328 (firmicutes)	1986740	1879
GCF_000010285.1	Kocuria rhizophila DC2201 (high GC Gram+)	2697540	2319
GCF_000010305.1	Gemmatimonas aurantiaca T-27 (bacteria)	4636964	3966
GCF_000010405.1	Candidatus Vesicomyosocius okutanii HA (g-proteobacteria)	1022154	989
GCF_000010425.1	Bifidobacterium adolescentis ATCC 15703 (high GC Gram+)	2089645	1694
GCF_000010505.1	Porphyromonas gingivalis ATCC 33277 (CFB group bacteria)	2354886	2020
GCF_000010525.1	Azorhizobium caulinodans ORS 571 (a-proteobacteria)	5369772	4781
GCF_000010605.1	Streptomyces griseus subsp. griseus NBRC 13350 (high GC Gram+)	8545929	7051
GCF_000010625.1	Microcystis aeruginosa NIES-843 (cyanobacteria)	5842795	5238
GCF_000010665.1	Desulfovibrio magneticus RS-1 (d-proteobacteria)	5315620	4548
GCF_000010785.1	Hydrogenobacter thermophilus TK-6 (aquificales)	1743135	1917
GCF_000010985.1	Deferribacter desulfuricans SSM1 (bacteria)	2542933	2482
GCF_000011025.1	Rothia mucilaginosa DY-18 (high GC Gram+)	2264603	1747
GCF_000011225.1	Mycoplasma penetrans HF-2 (mycoplasmas)	1358633	1049
GCF_000011245.1	Oceanobacillus iheyensis HTE831 (firmicutes)	3630528	3556
GCF_000011305.1	Corynebacterium efficiens YS-314 (high GC Gram+)	3219505	2886
GCF_000011465.1	Prochlorococcus marinus subsp. pastoris str. CCMP1986 (cyanobacteria)	1657990	1830
GCF_000011485.1	Prochlorococcus marinus str. MIT 9313 (cyanobacteria)	2410873	2419
GCF_000011645.1	Bacillus licheniformis DSM 13 _ ATCC 14580 (firmicutes)	4222597	4312
GCF_000011685.1	Gluconobacter oxydans 621H (a-proteobacteria)	2922384	2674
GCF_000011905.1	Dehalococcoides mccartyi 195 (GNS bacteria)	1469720	1546
GCF_000011965.2	Ruegeria pomeroyi DSS-3 (a-proteobacteria)	4601048	4367
GCF_000012085.2	Borrelia turicatae 91E135 (spirochetes)	1165365	1086
GCF_000012145.1	Rickettsia felis URRWXCal2 (a-proteobacteria)	1587240	1399
GCF_000012225.1	Aster yellows witches-broom phytoplasma AYWB (mycoplasmas)	723970	595
GCF_000012305.1	Psychrobacter arcticus 273-4 (g-proteobacteria)	2650701	2174
GCF_000012325.1	Colwellia psychrerythraea 34H (g-proteobacteria)	5373180	4533
GCF_000012385.1	Rickettsia bellii RML369-C (a-proteobacteria)	1522076	1435
GCF_000012405.1	Thermobifida fusca YX (high GC Gram+)	3642249	3124
GCF_000012425.1	Dechloromonas aromatica RCB (b-proteobacteria)	4501104	4268
GCF_000012465.1	Prochlorococcus marinus str. NATL2A (cyanobacteria)	1842899	1994
GCF_000012485.1	Pelodictyon luteolum DSM 273 (green sulfur bacteria)	2364842	2179
GCF_000012565.1	Ehrlichia canis str. Jake (a-proteobacteria)	1315030	967
GCF_000012585.1	Chlorobium chlorochromatii CaD3 (epibiont of the phototrophic consortium Chlorochromatium aggregatum)	2572079	2108
GCF_000012605.1	Hydrogenovibrio crunogenus XCL-2 (g-proteobacteria)	2427734	2296
GCF_000012645.1	Prochlorococcus marinus str. MIT 9312 (cyanobacteria)	1709204	1858
GCF_000012665.1	Desulfovibrio alaskensis G20 (d-proteobacteria)	3730232	3418
GCF_000012685.1	Myxococcus xanthus DK 1622 (d-proteobacteria)	9139763	7285
GCF_000012725.1	Nitrobacter winogradskyi Nb-255 (a-proteobacteria)	3402093	3036
GCF_000012745.1	Thiobacillus denitrificans ATCC 25259 (b-proteobacteria)	2909809	2820
GCF_000012765.1	Mycoplasma capricolum subsp. capricolum ATCC 27343 (mycoplasmas)	1010023	828
GCF_000012805.1	Nitrosococcus oceani ATCC 19707 (g-proteobacteria)	3522111	3189
GCF_000012825.1	Bacteroides vulgatus ATCC 8482 (CFB group bacteria)	5163189	4182
GCF_000012845.1	Parabacteroides distasonis ATCC 8503 (CFB group bacteria)	4811379	3983
GCF_000012865.1	Carboxydothermus hydrogenoformans Z-2901 (firmicutes)	2401520	2478
GCF_000012885.1	Pelobacter carbinolicus DSM 2380 (d-proteobacteria)	3665893	3257
GCF_000012925.1	Geobacter metallireducens GS-15 (d-proteobacteria)	4011182	3594
GCF_000012965.1	Sulfurimonas denitrificans DSM 1251 (e-proteobacteria)	2201561	2189
GCF_000012985.1	Hahella chejuensis KCTC 2396 (g-proteobacteria)	7215267	6300
GCF_000013005.1	Erythrobacter litoralis HTCC2594 (a-proteobacteria)	3052398	2941
GCF_000013025.1	Hyphomonas neptunium ATCC 15444 (a-proteobacteria)	3705021	3507
GCF_000013125.1	Anaplasma phagocytophilum str. HZ (agent of human granulocytic ehrlichiosis)	1471282	1106
GCF_000013145.1	Ehrlichia chaffeensis str. Arkansas (a-proteobacteria)	1176248	932
GCF_000013165.1	Neorickettsia sennetsu str. Miyayama (a-proteobacteria)	859006	795
GCF_000013285.1	Clostridium perfringens ATCC 13124 (firmicutes)	3256683	2917
GCF_000013325.1	Novosphingobium aromaticivorans DSM 12444 (a-proteobacteria)	4233314	3993
GCF_000013345.1	Frankia casuarinae (high GC Gram+)	5433628	4404
GCF_000013365.1	Rhodopseudomonas palustris HaA2 (a-proteobacteria)	5331656	4726
GCF_000013405.1	Syntrophus aciditrophicus SB (d-proteobacteria)	3179300	2949
GCF_000013605.1	Rhodoferax ferrireducens T118 (b-proteobacteria)	4969784	4531
GCF_000013645.1	Paraburkholderia xenovorans LB400 (b-proteobacteria)	9731138	8452
GCF_000013665.1	Saccharophagus degradans 2-40 (g-proteobacteria)	5057531	4158
GCF_000013745.1	Rhodopseudomonas palustris BisB18 (a-proteobacteria)	5513844	4913
GCF_000013765.1	Shewanella denitrificans OS217 (g-proteobacteria)	4545906	3893
GCF_000013885.1	Nitrobacter hamburgensis X14 (a-proteobacteria)	5011522	4521
GCF_000013945.1	Leptospira borgpetersenii serovar Hardjo-bovis str. L550 (bacteria)	3931782	3330
GCF_000013985.1	Sphingopyxis alaskensis RB2256 (a-proteobacteria)	3373713	3242
GCF_000014025.1	Arcobacter butzleri RM4018 (e-proteobacteria)	2341251	2325
