Species	Taxon Group	Common Name	Estimated Genome Size (Mb)	Log Estimated Genome Size 	Assembly Genome Size (Mb)	Log Assembly Genome Size	Genome Size in Database (Mb)	Additional Measurements (Mb)	Difference Between Estimated and Assembly Size (Mb)	Log Difference Between Estimated and Assembly Size	(Est-Ass/Est)*100	Genomic GC content (%)	Gene Number	Log Gene Number	Average Coding Size/Gene (Exonic bp)	Log Average Coding Size	Coding Amount(Exonic Mb)	Log Coding Amount	Coding Proportion of Estimated Genome Size 	Pseudogene Number	Average Exon Size (bp)	Log Average Exon Size	Average Intron Size (bp)	Log Average Intron Size	Intron Number	Log Intron Number	Intron Amount (Mb)	Log Intron Amount	Introns Proportion Of Assembly	Introns Proportion of Estimate	TE Amount in Assembly (Mb)	Log TE Amount in Assembly	TE Number	Log TE Number	TE Proportion of Estimate	TE Proportion of Assembly	Repeat Amount in Assembly (Mb)	Log Repeat Amount in Assembly	Repeats Prop of Assembly	Repeats Proportion of Estimated Genome Size	Chromosome Number (1n)	Estimated Genome Size/Chromosome Number	Coverage (x)
Xenopus tropicalis	Animal	Western clawed frog	1700	3.2304489214	1510	3.1789769473	NA	1700	190	2.278753601	11.1764705882	40	18442	4.2658080177						173											586.5	2.7682680165			0.345	0.388410596					10	170	7.44
Anolis carolinensis	Animal	Green anole	2242	3.3506356083	1780	3.2504200023	2242	2200	462	2.6646419756	20.6066012489	40.3	18596	4.2694195375						344											602	2.7795964913			0.2685102587	0.3382022472	753.72	2.8772100395	0.4234382022	0.3361819804	18	124.5555555556	7.1
Gallus gallus	Animal	Chicken	1222.5	3.0872488678	1050	3.0211892991	1222.5	1200	172.5	2.2367890994	14.1104294479	42	15508	4.1905557923						5539			3799	3.5796692936			574.7	2.7594411971	0.5473333333	0.4701022495	116.88	2.0677402029	265000	5.4232458739	0.095607362	0.1113142857	120.435	2.080752717	0.1147	0.0985153374	39	31.3461538462	12
Mus musculus	Animal	Mouse	3227.4	3.5088527947	2500	3.3979400087	3227.4	2800	727.4	2.8617732967	22.5382660965		23148	4.3645134737	1550.56	3.1904885762	34.8	1.5415792439	0.0107826734	18632	179.28	2.2535318435	4430.11	3.6464145099	18816	4.2745273044	945.7	2.975753389	0.37828	0.293022247	944.3	2.9751099897	2901000	6.4625477288	0.2925884613	0.37772	1181.6	3.0724704823	0.47264	0.3661151391	20	161.37	6.5
Gorilla gorilla	Animal	Gorilla	3442.56	3.5368815183	3041	3.4830164201	3442.56	3500	401.56	2.6037504456	11.6645751999		20962	4.3214327166						1553											1614.2	3.207957343			0.4688952408	0.5308122328	1503.1663	3.1770070306	0.4943	0.4366420048	24	143.44	35
Homo sapiens	Animal	Human	3423	3.5344068991	3300	3.5185139399	3423	3200	123	2.0899051114	3.5933391762	41	20805	4.3181677201	1660.16	3.2201499457	32.9	1.5171958979	0.0096114519	16901	173.71	2.2398248203	5300.82	3.7243430571	162425	5.2106528754					1551.68	3.1908021624	3163000	6.5000991919	0.453309962	0.4702060606	2160	3.3344537512	0.6545454545	0.6310254163	23	148.8260869565	65
Bos taurus	Animal	Cow	3537.1	3.5486473383	2857	3.4559102404	3537.1	2860	680.1	2.8325727748	19.2276158435		19994	4.3008996878	1610.89	3.2070658855					167.01	2.222742476	3908.19	3.5919756692							1372.23	3.1374269097			0.3879534082	0.4803045152	1410.7866	3.149461326	0.4938	0.398854033	30	117.9033333333	9
Pelodiscus sinensis 	Animal	Soft shell turtle	2210	3.3443922737	1755.6	3.2444255722	NA		454.4	2.6574383227	20.5610859729	44.4	19327	4.2861644467	1587	3.2005769268	27.939	1.4462108577	0.0126420814		259	2.4132997641	4644	3.6668922111							170.612	2.232009574			0.0772	0.0971815903	938.587	2.9724745347	0.5346246298	0.4247			105
Chelonia mydas 	Animal	Green turtle	2581.92	3.4119427817	1851.6	3.2675471721	2581.92	2240	730.32	2.8635131941	28.2859267522	43.5	19633	4.2929866666	1456	3.163161375	28.581	1.4560774199	0.0110696691		179	2.252853031	3860	3.5865873047							191.52	2.2822141331			0.0741773564	0.1034348671	836.64	2.9225386245	0.4518470512	0.3240379253			110
Branchiostoma floridae	Animal	Lancelet	522	2.717670503	522	2.717670503	NA	522			?		21955	4.3415334414																	145.6	2.163161375			0.2789272031	0.2789272031					19	27.4736842105	
Ornithorhynchus anatinus	Animal	Platypus	2992.68	3.4760602813	1840	3.264817823	2992.68	2300	1152.68	3.0617087578	38.516647286		21698	4.3364197049																	815.856	2.9116135118	4389220	6.6423873494	0.2726171859	0.4434	855.232	2.9320839424	0.4648	0.2857746234	26	115.1030769231	6
Latimeria menadoensis	Animal	Indonesian coelacanth	2670	3.4265112614	2670	3.4265112614	NA	2670			?	42					29.699	1.4727418264	0.011123221												1377.398	3.139059448	3682900	6.5661899268	0.5158794007	0.5158794007	1377.398	3.139059448	0.5158794007	0.5158794007			
Latimeria chalumnae	Animal	Coelacanth	3134.39	3.4961530331	2860	3.4563660331	3134.39	2750	274.39	2.4383682797	8.7541754536		19569	4.2915686332						27451											615.13	2.7889669082	692058	5.8401424933	0.1962519023	0.2150804196	792.506	2.8990025589	0.2771	0.2528421798	24	130.5995833333	77.5
Danio rerio	Animal	Zebrafish	1817.124	3.2593845644	1412	3.1498346967	1817.124		405.124	2.607587972	22.2947911095	36.7	26459	4.4225734263	1553.346	3.1912682034	41.1	1.6138418219	0.0226181592	16357			2809	3.4485517392	221589	5.3455481976	62.2	1.7937903847	0.0440509915	0.034229915	716.24	2.8550585715			0.3941613231	0.5072521246	969.22	2.9864223673	0.6864164306	0.5333813213	25	72.68496	39
Rattus norvegicus	Animal	Norway Brown rat	3286.08	3.5166781322	2475	3.3935752033	3286.08	2750	811.08	2.9090636925	24.6822962314		22940	4.3605934136						13962											1077.45	3.0323971255			0.3278830704	0.4353333333	1170.4	3.0683343131	0.4728888889	0.3561690525	21	156.48	6
