GCF_000006175.1	Methanococcus voltae A3 (euryarchaeotes)	1936387	1734
GCF_000006805.1	Halobacterium salinarum NRC-1 (euryarchaeotes)	2571010	2661
GCF_000007305.1	Pyrococcus furiosus DSM 3638 (euryarchaeotes)	1908256	2029
GCF_000008265.1	Picrophilus torridus DSM 9790 (euryarchaeotes)	1545895	1612
GCF_000008645.1	Methanothermobacter thermautotrophicus str. Delta H (euryarchaeotes)	1751377	1801
GCF_000008665.1	Archaeoglobus fulgidus DSM 4304 (euryarchaeotes)	2178400	2418
GCF_000009965.1	Thermococcus kodakarensis KOD1 (euryarchaeotes)	2088737	2288
GCF_000011105.1	Pyrococcus horikoshii OT3 (euryarchaeotes)	1738505	1851
GCF_000011185.1	Thermoplasma volcanium GSS1 (euryarchaeotes)	1584804	1594
GCF_000011205.1	Sulfurisphaera tokodaii str. 7 (crenarchaeotes)	2694756	2819
GCF_000012285.1	Sulfolobus acidocaldarius DSM 639 (crenarchaeotes)	2225959	2294
GCF_000012545.1	Methanosphaera stadtmanae DSM 3091 (euryarchaeotes)	1767403	1571
GCF_000013445.1	Methanospirillum hungatei JF-1 (euryarchaeotes)	3544738	3359
GCF_000013725.1	Methanococcoides burtonii DSM 6242 (euryarchaeotes)	2575032	2466
GCF_000015145.1	Hyperthermus butylicus DSM 5456 (crenarchaeotes)	1667163	1724
GCF_000015765.1	Methanocorpusculum labreanum Z (euryarchaeotes)	1804962	1858
GCF_000015825.1	Methanoculleus marisnigri JR1 (euryarchaeotes)	2478101	2482
GCF_000016525.1	Methanobrevibacter smithii ATCC 35061 (euryarchaeotes)	1853160	1752
GCF_000016605.1	Metallosphaera sedula DSM 5348 (crenarchaeotes)	2191517	2346
GCF_000017165.1	Methanococcus vannielii SB (euryarchaeotes)	1720048	1728
GCF_000017185.1	Methanococcus aeolicus Nankai-3 (euryarchaeotes)	1569500	1535
GCF_000017225.1	Methanococcus maripaludis C7 (euryarchaeotes)	1772694	1840
GCF_000017625.1	Methanoregula boonei 6A8 (euryarchaeotes)	2542943	2564
GCF_000017945.1	Ignicoccus hospitalis KIN4/I (crenarchaeotes)	1297538	1498
GCF_000018305.1	Caldivirga maquilingensis IC-167 (crenarchaeotes)	2077567	2049
GCF_000018365.1	Thermococcus onnurineus NA1 (euryarchaeotes)	1847607	1984
GCF_000020905.1	Desulfurococcus amylolyticus 1221n (crenarchaeotes)	1365223	1436
GCF_000021965.1	Methanosphaerula palustris E1-9c (euryarchaeotes)	2922917	2763
GCF_000022205.1	Halorubrum lacusprofundi ATCC 49239 (euryarchaeotes)	3692576	3515
GCF_000022385.1	Sulfolobus islandicus L.S.2.15 (crenarchaeotes)	2736272	2816
GCF_000022545.1	Thermococcus sibiricus MM 739 (euryarchaeotes)	1845800	1963
GCF_000023945.1	Halorhabdus utahensis DSM 12940 (euryarchaeotes)	3116795	2966
GCF_000023965.1	Halomicrobium mukohataei DSM 12286 (euryarchaeotes)	3332349	3287
GCF_000023985.1	Methanocaldococcus fervens AG86 (euryarchaeotes)	1507251	1597
GCF_000024185.1	Methanobrevibacter ruminantium M1 (euryarchaeotes)	2937203	2204
GCF_000024625.1	Methanocaldococcus vulcanius M7 (euryarchaeotes)	1761737	1738
GCF_000025285.1	Archaeoglobus profundus DSM 5631 (euryarchaeotes)	1563423	1836
GCF_000025325.1	Haloterrigena turkmenica DSM 5511 (euryarchaeotes)	5440782	5047
GCF_000025505.1	Ferroglobus placidus DSM 10642 (euryarchaeotes)	2196266	2532
GCF_000025625.1	Natrialba magadii ATCC 43099 (euryarchaeotes)	4443643	4137
GCF_000025665.1	Aciduliprofundum boonei T469 (euryarchaeotes)	1486778	1573
GCF_000025685.1	Haloferax volcanii DS2 (euryarchaeotes)	4012900	3914
GCF_000025865.1	Methanohalophilus mahii DSM 5219 (euryarchaeotes)	2012424	2016
GCF_000026045.1	Natronomonas pharaonis DSM 2160 (euryarchaeotes)	2749696	2787
GCF_000063445.1	Methanocella arvoryzae MRE50 (euryarchaeotes)	3179916	3117
GCF_000091665.1	Methanocaldococcus jannaschii DSM 2661 (euryarchaeotes)	1739927	1805
GCF_000092305.1	Methanocaldococcus infernus ME (euryarchaeotes)	1328194	1481
GCF_000144915.1	Acidilobus saccharovorans 345-15 (crenarchaeotes)	1496453	1527
GCF_000145295.1	Methanothermobacter marburgensis str. Marburg (euryarchaeotes)	1639135	1747
GCF_000147875.1	Methanolacinia petrolearia DSM 11571 (euryarchaeotes)	2843290	2831
GCF_000151105.2	Thermococcus barophilus MP (euryarchaeotes)	2064237	2232
GCF_000152265.2	Ferroplasma acidarmanus fer1 (euryarchaeotes)	1935211	1927
GCF_000166095.1	Methanothermus fervidus DSM 2088 (euryarchaeotes)	1243342	1343
GCF_000172995.2	Halogeometricum borinquense DSM 11551 (euryarchaeotes)	3944467	3833
GCF_000179575.2	Methanothermococcus okinawensis IH1 (euryarchaeotes)	1677455	1620
GCF_000186365.1	Desulfurococcus mucosus DSM 2162 (crenarchaeotes)	1314639	1393
GCF_000190315.1	Vulcanisaeta moutnovskia 768-28 (crenarchaeotes)	2298983	2401
GCF_000191585.1	Methanobacterium lacus (euryarchaeotes)	2583753	2498
GCF_000194625.1	Archaeoglobus veneficus SNP6 (euryarchaeotes)	1901943	2121
GCF_000195915.1	Thermoplasma acidophilum DSM 1728 (euryarchaeotes)	1564906	1569
GCF_000195935.2	Pyrococcus abyssi GE5 (euryarchaeotes)	1768562	1912
GCF_000196655.1	Methanohalobium evestigatum Z-7303 (euryarchaeotes)	2406232	2322
GCF_000196895.1	Halalkalicoccus jeotgali B3 (euryarchaeotes)	3698650	3730
GCF_000204415.1	Methanothrix soehngenii GP6 (euryarchaeotes)	3026645	2950
GCF_000204925.1	Metallosphaera cuprina Ar-4 (crenarchaeotes)	1840348	1942
GCF_000213215.1	Acidianus hospitalis W1 (crenarchaeotes)	2137654	2382
GCF_000214415.1	Methanotorris igneus Kol 5 (euryarchaeotes)	1854197	1792
GCF_000214725.1	Methanobacterium paludis (euryarchaeotes)	2546541	2443
GCF_000215995.1	Pyrococcus yayanosii CH1 (euryarchaeotes)	1716818	1841
GCF_000217715.1	Halopiger xanaduensis SH-6 (euryarchaeotes)	4355268	4146
GCF_000217995.1	Methanosalsum zhilinae DSM 4017 (euryarchaeotes)	2138444	2010
GCF_000220645.1	Methanococcus maripaludis X1 (euryarchaeotes)	1746697	1840
GCF_000223395.1	Pyrolobus fumarii 1A (crenarchaeotes)	1843267	1957
GCF_000223905.1	Haloarcula hispanica ATCC 33960 (euryarchaeotes)	3890005	3789
GCF_000224475.1	halophilic archaeon DL31 (archaea)	3643158	3421
GCF_000226975.2	Halobiforma lacisalsi AJ5 (euryarchaeotes)	4381543	4146
GCF_000230715.2	Natronobacterium gregoryi SP2 (euryarchaeotes)	3788356	3601
GCF_000230735.2	Natrinema pellirubrum DSM 15624 (euryarchaeotes)	4354100	4154
GCF_000235565.1	Methanosaeta harundinacea 6Ac (euryarchaeotes)	2571034	2447
